index,datetime,datetime_stop,day,car_number,start_time,split_time,stop_time,run_time,penalty,run_number
0,,,1,5,000000,,46767,46.767,DNF,1
1,,,1,6,000000,,69764,69.764,DNF,1
2,,,1,9,000000,,62986,62.986,,1
3,,,1,12,000000,,52560,52.560,DNF,1
4,,,1,16,000000,,48678,48.678,DNF,1
5,,,1,14,000000,,67381,67.381,,1
6,,,1,17,000000,,68968,68.968,,1
7,,,1,24,000000,,96959,96.959,DNF,1
8,,,1,21,000000,,65857,65.857,,1
9,,,1,20,000000,,49144,49.144,DNF,1
10,,,1,29,000000,,72940,72.940,,1
11,,,1,28,000000,,60744,60.744,1,1
12,,,1,46,000000,,65978,65.978,DNF,1
13,,,1,51,000000,,69802,69.802,,1
14,,,1,26,000000,,61797,61.797,,1
15,,,1,64,000000,,61168,61.168,,1
16,,,1,72,000000,,62903,62.903,,1
17,,,1,94,000000,,61091,61.091,,1
18,,,1,109,000000,,60155,60.155,,1
19,,,1,78,000000,,61347,61.347,,1
20,,,1,80,000000,,72428,72.428,,1
21,,,1,117,000000,,70010,70.010,DNF,1
22,,,1,138,000000,,68735,68.735,,1
23,,,1,147,000000,,65119,65.119,,1
24,,,1,551,000000,,63121,63.121,,1
25,,,1,5,000000,,60870,60.870,,2
26,,,1,6,000000,,67853,67.853,,2
27,,,1,9,000000,,60656,60.656,,2
28,,,1,12,000000,,65816,65.816,,2
29,,,1,16,000000,,64012,64.012,,2
30,,,1,26,000000,,60400,60.400,,2
31,,,1,24,000000,,62738,62.738,,2
32,,,1,21,000000,,65717,65.717,,2
33,,,1,14,000000,,67327,67.327,,2
34,,,1,17,000000,,68396,68.396,,2
35,,,1,20,000000,,62029,62.029,,2
36,,,1,28,000000,,60875,60.875,,2
37,,,1,29,000000,,69131,69.131,,2
38,,,1,46,000000,,64048,64.048,DNF,2
39,,,1,51,000000,,68147,68.147,1,2
40,,,1,64,000000,,58909,58.909,,2
41,,,1,72,000000,,62256,62.256,,2
42,,,1,78,000000,,61262,61.262,,2
43,,,1,80,000000,,69280,69.280,,2
44,,,1,94,000000,,58995,58.995,,2
45,,,1,109,000000,,59744,59.744,,2
46,,,1,117,000000,,65873,65.873,,2
47,,,1,138,000000,,66900,66.900,,2
48,,,1,147,000000,,64276,64.276,,2
49,,,1,551,000000,,61834,61.834,,2
50,,,1,5,000000,,59120,59.120,,3
51,,,1,6,000000,,68509,68.509,DNF,3
52,,,1,9,000000,,60891,60.891,,3
53,,,1,12,000000,,65623,65.623,,3
54,,,1,16,000000,,63231,63.231,,3
55,,,1,14,000000,,72443,72.443,,3
56,,,1,17,000000,,65882,65.882,,3
57,,,1,26,000000,,59729,59.729,,3
58,,,1,20,000000,,62880,62.880,1,3
59,,,1,21,000000,,65600,65.600,,3
60,,,1,24,000000,,62201,62.201,,3
61,,,1,28,000000,,59751,59.751,,3
62,,,1,29,000000,,66239,66.239,,3
63,,,1,46,000000,,62269,62.269,,3
64,,,1,51,000000,,67014,67.014,,3
65,,,1,64,000000,,57899,57.899,,3
66,,,1,72,000000,,61748,61.748,,3
67,,,1,78,000000,,60949,60.949,,3
68,,,1,80,000000,,68689,68.689,,3
69,,,1,109,000000,,59554,59.554,,3
70,,,1,117,000000,,64962,64.962,,3
71,,,1,94,000000,,57802,57.802,,3
72,,,1,138,000000,,66376,66.376,,3
73,,,1,147,000000,,64379,64.379,,3
74,,,1,551,000000,,60701,60.701,,3
75,,,1,1,000000,,70035,70.035,,1
76,,,1,2,000000,,65939,65.939,1,1
77,,,1,11,000000,,63130,63.130,,1
78,,,1,22,000000,,63931,63.931,,1
79,,,1,27,000000,,68894,68.894,1,1
80,,,1,30,000000,,64138,64.138,,1
81,,,1,31,000000,,75152,75.152,,1
82,,,1,41,000000,,66492,66.492,,1
83,,,1,45,000000,,69390,69.390,2,1
84,,,1,47,000000,,63939,63.939,,1
85,,,1,53,000000,,64246,64.246,,1
86,,,1,59,000000,,56442,56.442,,1
87,,,1,60,000000,,67386,67.386,DNF,1
88,,,1,119,000000,,71186,71.186,,1
89,,,1,68,000000,,78749,78.749,,1
90,,,1,69,000000,,68120,68.120,,1
91,,,1,81,000000,,59578,59.578,3,1
92,,,1,84,000000,,62564,62.564,,1
93,,,1,113,000000,,63653,63.653,4,1
94,,,1,128,000000,,61499,61.499,,1
95,,,1,2,000000,,65115,65.115,,2
96,,,1,22,000000,,63016,63.016,,2
97,,,1,41,000000,,67522,67.522,,2
98,,,1,45,000000,,68731,68.731,3,2
99,,,1,1,000000,,69583,69.583,,2
100,,,1,11,000000,,64966,64.966,,2
101,,,1,5,000000,,59815,59.815,,4
102,,,1,6,000000,,66253,66.253,,4
103,,,1,9,000000,,60320,60.320,1,4
104,,,1,12,000000,,64111,64.111,,4
105,,,1,14,000000,,68055,68.055,,4
106,,,1,17,000000,,66353,66.353,,4
107,,,1,16,000000,,65201,65.201,,4
108,,,1,21,000000,,63632,63.632,,4
109,,,1,24,000000,,99999,99.999,DNF,4
110,,,1,20,000000,,60839,60.839,,4
111,,,1,26,000000,,59511,59.511,,4
112,,,1,72,000000,,60955,60.955,,4
113,,,1,29,000000,,66451,66.451,,4
114,,,1,64,000000,,58470,58.470,1,4
115,,,1,94,000000,,58040,58.040,,4
116,,,1,109,000000,,58996,58.996,,4
117,,,1,28,000000,,58658,58.658,1,4
118,,,1,46,000000,,62704,62.704,,4
119,,,1,51,000000,,66375,66.375,DNF,4
120,,,1,78,000000,,60421,60.421,,4
121,,,1,80,000000,,67623,67.623,,4
122,,,1,117,000000,,64149,64.149,1,4
123,,,1,138,000000,,64783,64.783,,4
124,,,1,147,000000,,65001,65.001,,4
125,,,1,551,000000,,61574,61.574,,4
126,,,1,5,000000,,58441,58.441,,5
127,,,1,6,000000,,65005,65.005,,5
128,,,1,16,000000,,62192,62.192,,5
129,,,1,26,000000,,59352,59.352,1,5
130,,,1,12,000000,,64176,64.176,,5
131,,,1,9,000000,,59979,59.979,1,5
132,,,1,20,000000,,59907,59.907,,5
133,,,1,24,000000,,62110,62.110,,5
134,,,1,28,000000,,60039,60.039,1,5
135,,,1,14,000000,,66805,66.805,,5
136,,,1,17,000000,,65052,65.052,,5
137,,,1,78,000000,,60204,60.204,,5
138,,,1,21,000000,,63626,63.626,,5
139,,,1,72,000000,,60795,60.795,1,5
140,,,1,29,000000,,66723,66.723,,5
141,,,1,46,000000,,61638,61.638,1,5
142,,,1,51,000000,,68457,68.457,DNF,5
143,,,1,80,000000,,67330,67.330,,5
144,,,1,64,000000,,58672,58.672,1,5
145,,,1,94,000000,,57905,57.905,2,5
146,,,1,147,000000,,63682,63.682,,5
147,,,1,138,000000,,64941,64.941,,5
148,,,1,109,000000,,59289,59.289,,5
149,,,1,551,000000,,61735,61.735,,5
150,,,1,117,000000,,62690,62.690,,5
